Purchase_Date,Falchion,Falchion_Autotronic_BS,Falchion_Autotronic_FN,Falchion_Autotronic_FT,Falchion_Autotronic_MW,Falchion_Autotronic_WW,Falchion_Black_laminate_BS,Falchion_Black_laminate_FN,Falchion_Black_laminate_FT,Falchion_Black_laminate_MW,Falchion_Black_laminate_WW,Falchion_Blue_Steel_BS,Falchion_Blue_Steel_FN,Falchion_Blue_Steel_FT,Falchion_Blue_Steel_MW,Falchion_Blue_Steel_WW,Falchion_Boreal_forest_BS,Falchion_Boreal_forest_FN,Falchion_Boreal_forest_FT,Falchion_Boreal_forest_MW,Falchion_Boreal_forest_WW,Falchion_Bright_Water_BS,Falchion_Bright_Water_FN,Falchion_Bright_Water_FT,Falchion_Bright_Water_MW,Falchion_Bright_Water_WW,Falchion_Case_Hardened_BS,Falchion_Case_Hardened_FN,Falchion_Case_Hardened_FT,Falchion_Case_Hardened_MW,Falchion_Case_Hardened_WW,Falchion_Crimson_web_BS,Falchion_Crimson_web_FN,Falchion_Crimson_web_FT,Falchion_Crimson_web_MW,Falchion_Crimson_web_WW,Falchion_Damascus_Steel_BS,Falchion_Damascus_Steel_FN,Falchion_Damascus_Steel_FT,Falchion_Damascus_Steel_MW,Falchion_Damascus_Steel_WW,Falchion_Doppler_FN,Falchion_Doppler_MW,Falchion_Fade_FN,Falchion_Fade_MW,Falchion_Forest_DDPAT_BS,Falchion_Forest_DDPAT_FN,Falchion_Forest_DDPAT_FT,Falchion_Forest_DDPAT_MW,Falchion_Forest_DDPAT_WW,Falchion_Freehand_BS,Falchion_Freehand_FN,Falchion_Freehand_FT,Falchion_Freehand_MW,Falchion_Freehand_WW,Falchion_Gamma_Doppler_FN,Falchion_Gamma_Doppler_MW,Falchion_Lore_BS,Falchion_Lore_FN,Falchion_Lore_FT,Falchion_Lore_MW,Falchion_Marble_Fade_FN,Falchion_Marble_Fade_MW,Falchion_Night_BS,Falchion_Night_FT,Falchion_Night_MW,Falchion_Rust_coat_BS,Falchion_Rust_coat_WW,Falchion_safari_mesh_BS,Falchion_safari_mesh_FT,Falchion_safari_mesh_MW,Falchion_safari_mesh_WW,Falchion_Scorched_BS,Falchion_Scorched_FN,Falchion_Scorched_FT,Falchion_Scorched_MW,Falchion_Scorched_WW,Falchion_Slaughter_FN,Falchion_Slaughter_FT,Falchion_Slaughter_MW,Falchion_Stained_BS,Falchion_Stained_FN,Falchion_Stained_FT,Falchion_Stained_MW,Falchion_Stained_WW,Falchion_Tiger_Tooth_FN,Falchion_Tiger_Tooth_MW,Falchion_Ultraviolet_FN,Falchion_Ultraviolet_FT,Falchion_Ultraviolet_MW,Falchion_Ultraviolet_WW,Falchion_Urban_masked_BS,Falchion_Urban_masked_FN,Falchion_Urban_masked_FT,Falchion_Urban_masked_MW,Falchion_Urban_masked_WW
Jun 06 2015,145.246,,,,,,,,,,,118.972,,134.854,160.405,134.413,68.293,,76.23,122.61,87.318,,,,,,,,140.587,196.92,133.783,99.432,,171.865,355.019,159.997,,,,,,,,262.862,,65.419,,75.2,117.525,,,,,,,,,,,,,,,74.481,119.458,149.854,,,67.101,66.648,84.44,66.397,78.559,,72.726,91.455,75.89,308.51,215.402,236.711,95.263,141.599,94.455,100.177,86.08,,,,,,,73.017,,76.011,92.511,71.334
Jun 07 2015,138.549,,,,,,,,,,,127.725,,134.185,150.811,115.0,64.649,,74.374,105.772,73.128,,,,,,111.814,,125.474,165.615,110.449,110.009,,158.172,293.166,160.041,,,,,,,,283.429,,65.348,,69.542,84.08,,,,,,,,,,,,,,,87.015,101.25,172.17,,,61.105,61.014,84.466,61.685,68.703,,72.041,85.277,75.411,280.774,203.216,216.107,87.083,,91.462,101.513,87.651,,,,,,,77.299,,70.382,87.783,74.807
Jun 08 2015,137.563,,,,,,,,,,,127.01,,132.427,152.951,132.606,67.923,,77.661,107.785,79.928,,,,,,109.051,,121.848,150.05,122.915,98.848,,163.931,240.524,174.94,,,,,,,,266.266,325.306,67.431,,76.019,94.835,,,,,,,,,,,,,,,,105.61,158.661,,,60.389,61.805,75.267,64.35,75.753,254.03,74.21,91.7,79.52,305.069,200.774,236.081,83.202,132.35,93.072,109.645,90.862,,,,,,,71.098,,68.175,91.749,72.638
Jun 09 2015,140.562,,,,,,,,,,,,,133.351,150.572,120.98,71.989,,79.818,108.881,72.454,,,,,,113.497,,129.794,172.431,132.814,89.942,,166.953,282.632,175.532,,,,,,,,247.461,353.063,66.856,,74.884,97.7,64.865,,,,,,,,,,,,,,86.068,110.846,172.29,,,64.571,66.395,76.241,55.34,70.36,,74.683,85.548,77.452,361.335,,237.608,92.776,112.81,94.66,107.059,87.68,,,,,,,75.327,,74.112,89.884,70.865
Jun 10 2015,138.214,,,,,,,,,,,125.857,,128.908,150.422,141.93,70.616,,77.646,114.625,86.684,,,,,,109.246,,135.732,161.082,134.9,93.254,,158.342,239.279,221.919,,,,,,,,232.136,,71.684,,72.857,109.843,,,,,,,,,,,,,,,69.563,111.045,188.687,,,,66.184,70.511,68.671,66.559,,73.664,88.562,75.297,354.416,,221.346,,120.743,90.739,92.94,82.364,,,,,,,70.587,,72.686,101.47,70.938
Jun 11 2015,128.825,,,,,,,,,,,125.035,,127.309,149.376,129.963,67.211,,73.606,117.165,71.109,,,,,,123.724,,135.015,164.88,141.137,87.106,,142.399,270.726,,,,,,,,,234.501,,69.83,,68.632,99.001,74.33,,,,,,,,,,,,,,72.24,109.168,143.605,,,64.416,62.859,71.641,58.192,64.845,,70.458,86.899,72.393,328.087,211.481,242.018,85.757,139.5,96.749,99.425,86.633,,,,,,,64.287,,70.853,107.479,71.877
Jun 12 2015,134.71,,,,,,,,,,,117.78,,126.257,152.884,120.245,65.8,,70.901,127.0,67.859,,,,,,122.485,,123.891,140.387,131.625,92.685,,145.97,276.104,,,,,,,,,231.173,221.332,60.0,,70.424,83.462,73.485,,,,,,,,,,,,,,75.318,103.695,162.564,,,56.682,61.245,71.428,61.678,67.453,,65.522,82.612,,281.883,197.536,227.971,82.907,,90.64,97.47,79.547,,,,,,,62.647,,70.954,106.41,62.803
Jun 13 2015,129.261,,,,,,,,,,,118.983,,127.982,153.831,120.959,62.806,,69.922,91.991,69.953,,,,,,101.63,,136.357,160.001,122.525,97.517,,150.935,278.157,,,,,,,,,225.584,208.49,58.61,,65.46,83.514,,,,,,,,,,,,,,,69.13,98.971,168.065,,,55.531,58.212,69.103,63.586,56.033,,67.104,81.148,70.648,277.326,178.115,211.14,71.142,112.07,88.641,92.694,83.06,,,,,,,65.092,,66.88,104.046,68.963
Jun 14 2015,129.009,,,,,,,,,,,112.506,,124.262,161.492,118.46,57.99,,66.955,98.87,78.454,,,,,,,,120.378,146.672,122.025,94.003,,138.292,257.63,,,,,,,,,218.318,224.125,59.562,,67.762,78.428,71.928,,,,,,,,,,,,,,65.035,91.824,146.541,,,55.136,58.648,72.625,57.432,56.606,,62.261,81.036,63.937,252.071,,202.373,80.931,,90.099,92.037,82.259,,,,,,,56.974,,66.868,95.133,64.34
Jun 15 2015,124.51,,,,,,,,,,,119.49,,116.247,138.024,112.724,56.651,,71.374,101.205,72.366,,,,,,111.024,269.29,119.361,140.704,123.047,86.366,,146.092,209.997,141.752,,,,,,,,216.222,238.973,57.055,134.649,67.236,84.421,,,,,,,,,,,,,,,65.342,97.215,163.74,,,56.639,57.808,64.925,56.385,60.166,,61.677,68.964,57.5,238.327,200.174,208.434,76.031,100.0,78.994,89.894,81.593,,,,,,,58.004,,65.706,89.335,59.61
